0,12
0,17
0,12
0,50
0,51
0,23
0,17
0,15
0,23
0,12
0,13
0,27
1,13
1,17
1,17
1,51
1,51
1,23
1,27
1,50
1,13
2,12
2,12
2,17
2,51
2,12
2,20
2,40
2,13
2,15
3,23
3,12
3,27
3,40
3,17
3,40
3,51
3,51
3,13
4,23
4,15
4,20
4,17
4,23
4,51
4,51
5,20
5,23
5,23
5,27
5,15
5,20
5,17
5,51
5,23
5,27
5,13
6,23
6,20
6,15
6,23
6,13
6,20
6,20
6,17
6,40
6,15
6,51
6,40
6,17
6,12
6,27
6,50
6,51
7,27
7,50
7,17
7,17
7,15
7,23
7,20
7,15
7,40
7,23
8,20
8,12
8,15
8,40
8,51
8,15
9,27
9,23
9,15
9,40
9,27
9,17
9,51
9,23
9,17
9,12
